"yf-1jecxey","yf-1jecxey 2","yf-1jecxey 3","yf-1jecxey 4","yf-1jecxey 5","yf-1jecxey 6","yf-1jecxey 7"
"Jul 21, 2025","245.31","240.85","238.90","240.48","240.48","2,258,469"
"Jul 18, 2025","245.31","245.97","238.69","240.40","240.40","16,238,100"
"Jul 17, 2025","245.79","248.28","241.39","245.60","245.60","27,395,700"
"Jul 16, 2025","236.40","238.31","234.15","237.56","237.56","15,092,800"
"Jul 15, 2025","234.46","237.71","233.85","236.95","236.95","14,270,100"
"Jul 14, 2025","229.33","229.85","226.31","228.67","228.67","10,673,500"
"Jul 11, 2025","231.00","232.27","229.40","230.40","230.40","8,817,800"
"Jul 10, 2025","232.78","233.05","227.77","229.76","229.76","13,124,700"
"Jul 9, 2025","230.45","233.27","230.24","231.84","231.84","9,475,300"
"Jul 8, 2025","229.78","230.33","227.54","227.86","227.86","8,854,400"
"Jul 7, 2025","231.63","232.55","227.44","229.17","229.17","13,817,500"
"Jul 3, 2025","233.87","237.58","233.27","234.80","234.80","7,779,600"
"Jul 2, 2025","224.48","233.82","224.00","233.60","233.60","12,012,500"
"Jul 1, 2025","227.43","228.60","221.18","224.68","224.68","9,990,200"
"Jun 30, 2025","227.44","228.15","224.80","226.49","226.49","9,279,800"
"Jun 27, 2025","224.30","228.88","224.03","228.57","228.57","13,133,000"
"Jun 26, 2025","224.98","225.22","222.70","224.01","224.01","7,982,200"
"Jun 25, 2025","220.80","223.50","220.80","222.74","222.74","9,168,400"
"Jun 24, 2025","214.39","220.37","213.88","220.09","220.09","14,814,700"
"Jun 23, 2025","206.63","210.59","206.20","210.32","210.32","7,535,500"
"Jun 20, 2025","215.20","215.50","208.15","209.51","209.51","16,992,000"
"Jun 18, 2025","214.70","215.17","212.89","213.50","213.50","6,932,000"
"Jun 17, 2025","213.89","215.94","213.50","213.90","213.90","8,389,700"
"Jun 16, 2025","213.00","217.60","212.73","215.68","215.68","10,932,900"
"Jun 13, 2025","210.11","213.26","209.40","211.10","211.10","10,152,500"
"Jun 12, 2025","212.92","215.88","211.91","215.43","215.43","9,796,100"
"Jun 11, 2025","215.00","217.43","212.95","214.10","214.10","13,326,400"
"Jun 10, 2025","211.61","213.23","209.96","212.46","212.46","14,514,000"
"Jun 9, 2025","206.40","209.27","205.87","207.00","207.00","11,472,300"
"Jun 6, 2025","203.58","206.29","203.23","205.18","205.18","8,532,000"
"Jun 5, 2025","204.88","205.76","202.28","203.34","203.34","12,214,300"
"Jun 4, 2025","201.38","204.03","200.38","202.40","202.40","13,531,100"
"Jun 3, 2025","194.35","198.17","193.64","197.61","197.61","9,548,300"
"Jun 2, 2025","193.04","195.16","192.20","194.84","194.84","7,447,400"
"May 30, 2025","195.77","195.91","190.56","193.32","193.32","11,998,300"
"May 29, 2025","199.46","199.80","196.08","197.15","197.15","14,609,900"
"May 28, 2025","196.09","198.07","195.48","196.14","196.14","17,787,600"
"May 27, 2025","194.10","198.31","193.70","197.68","197.68","12,228,200"
"May 23, 2025","192.02","192.80","190.03","191.98","191.98","9,403,100"
"May 22, 2025","191.34","196.83","191.34","196.19","196.19","11,825,000"
"May 21, 2025","193.10","195.27","190.53","191.76","191.76","7,375,700"
"May 20, 2025","191.80","193.73","190.81","193.45","193.45","7,054,100"
"May 19, 2025","189.00","193.50","188.81","193.50","193.50","10,144,400"
"May 16, 2025","194.53","195.08","192.57","194.22","194.22","9,146,700"
"May 15, 2025","193.10","194.49","191.63","194.22","194.22","10,241,800"
"May 14, 2025","195.28","196.22","193.23","194.76","194.76","12,359,000"
"May 13, 2025","187.72","194.28","187.72","193.99","193.99","19,996,000"
"May 12, 2025","187.28","189.17","184.61","186.98","186.98","22,064,900"
"May 9, 2025","179.80","180.46","176.47","176.52","176.52","11,582,800"
"May 8, 2025","175.34","177.45","173.66","175.22","175.22","10,343,000"
"May 7, 2025","174.10","175.98","171.37","174.54","174.54","9,682,500"
"May 6, 2025","172.60","174.74","170.59","172.28","172.28","14,565,600"
"May 5, 2025","179.00","180.08","176.25","176.40","176.40","14,618,900"
"May 2, 2025","179.80","180.65","177.14","179.28","179.28","21,691,200"
"May 1, 2025","172.80","174.78","170.95","172.72","172.72","22,670,600"
"Apr 30, 2025","163.54","166.92","161.75","166.69","166.69","10,073,000"
"Apr 29, 2025","164.38","166.00","163.50","164.48","164.48","9,830,100"
"Apr 28, 2025","165.00","165.32","160.50","163.40","163.40","11,415,600"
"Apr 25, 2025","163.93","165.91","161.16","165.10","165.10","14,654,800"
"Apr 24, 2025","157.78","164.55","157.39","164.18","164.18","18,761,100"
"Apr 23, 2025","159.37","160.38","156.00","157.81","157.81","17,667,900"
"Apr 22, 2025","148.00","152.60","147.44","151.40","151.40","12,668,600"
"Apr 21, 2025","149.99","150.28","145.84","147.86","147.86","15,170,500"
"Apr 17, 2025","156.05","157.50","151.45","151.74","151.74","27,239,900"
"Apr 16, 2025","150.60","153.54","148.49","151.67","151.67","23,806,100"
"Apr 15, 2025","156.49","158.25","156.05","157.33","157.33","14,306,600"
"Apr 14, 2025","158.30","158.59","154.03","155.84","155.84","17,509,400"
"Apr 11, 2025","156.00","158.01","153.25","157.08","157.08","19,632,200"
"Apr 10, 2025","155.50","156.00","146.91","151.13","151.13","24,503,500"
"Apr 9, 2025","140.20","160.62","137.90","158.75","158.75","45,612,500"
"Apr 8, 2025","151.98","152.61","138.98","141.37","141.37","30,479,700"
"Apr 7, 2025","134.51","153.75","134.25","146.17","146.17","46,388,300"
"Apr 4, 2025","150.89","151.31","144.84","146.80","146.80","36,085,100"
"Apr 3, 2025","160.06","161.80","157.21","157.38","157.38","28,370,500"
"Apr 2, 2025","166.85","171.75","166.35","170.39","170.39","10,072,700"
"Apr 1, 2025","166.39","168.87","165.06","168.64","168.64","9,180,000"
"Mar 31, 2025","160.36","166.13","159.73","166.00","166.00","19,408,300"
"Mar 28, 2025","168.04","168.63","164.06","165.25","165.25","16,332,000"
"Mar 27, 2025","171.39","171.61","167.55","168.24","168.24","17,559,100"
"Mar 26, 2025","179.23","179.55","171.47","173.50","173.50","14,612,400"
"Mar 25, 2025","182.47","182.51","179.80","180.90","180.90","8,718,800"
"Mar 24, 2025","179.99","182.93","179.68","181.16","181.16","11,440,000"
"Mar 21, 2025","174.91","177.20","173.79","176.73","176.73","9,993,200"
"Mar 20, 2025","174.85","178.67","174.55","177.47","177.47","12,209,700"
"Mar 19, 2025","173.00","175.73","171.74","173.76","173.76","10,678,500"
"Mar 18, 2025","0.684","","","","",""
"Mar 18, 2025","174.38","174.58","170.43","173.13","173.13","9,986,000"
"Mar 17, 2025","173.95","177.16","173.82","176.24","175.56","9,678,100"
"Mar 14, 2025","172.65","174.37","171.93","174.09","173.41","11,449,400"
"Mar 13, 2025","173.89","173.89","170.50","171.59","170.92","14,381,600"
"Mar 12, 2025","175.60","178.13","174.76","177.17","176.48","14,737,600"
"Mar 11, 2025","170.65","173.33","168.10","170.97","170.31","16,561,100"
"Mar 10, 2025","172.47","174.89","167.91","170.65","169.99","18,265,100"
"Mar 7, 2025","175.79","178.47","171.02","177.10","176.41","21,012,700"
"Mar 6, 2025","178.58","181.55","175.79","175.85","175.17","17,864,300"
"Mar 5, 2025","183.00","184.74","180.72","184.28","183.56","17,334,000"
"Mar 4, 2025","175.06","183.60","174.18","180.00","179.30","29,395,200"
"Mar 3, 2025","181.15","181.57","171.07","172.97","172.30","37,403,000"
"Feb 28, 2025","179.31","182.16","175.52","180.53","179.83","27,929,400"
